date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:59	59671/59671	---M-Z	200	added ('OK')	text/html	etag:%22e917-6454d56e-a52a9699b0bb40d;gz%22	https://themezhub.net/workoo-live/workoo/freelancer-1.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/freelancer-1.html	(from )
13:46:00	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64017375-9a6948a48a0c49ce;gz%22	https://themezhub.net/robots.txt		(from )
13:46:00	400161/400161	---M-Z	200	added ('OK')	text/css	etag:%2261b21-6454d56e-45d7c510d486bf63;gz%22	https://themezhub.net/workoo-live/workoo/assets/css/plugins.css	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/assets/css/plugins.css	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:01	237341/237341	---M-Z	200	added ('OK')	text/css	etag:%2239f1d-6454d56e-77084db111e705b4;gz%22	https://themezhub.net/workoo-live/workoo/assets/css/styles.css	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/assets/css/styles.css	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:01	10961/10961	---M--	200	added ('OK')	image/png	etag:%222ad1-6454d56e-1486fdb4f9c36f57;;;%22	https://themezhub.net/workoo-live/workoo/assets/img/logo.png	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/assets/img/logo.png	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:01	48755/48755	---M-Z	200	added ('OK')	text/html	etag:%22be73-6454d56e-4960544d47240cbd;gz%22	https://themezhub.net/workoo-live/workoo/index.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/index.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:01	43649/43649	---M-Z	200	added ('OK')	text/html	etag:%22aa81-6454d56e-b1753c5d15b9e52b;gz%22	https://themezhub.net/workoo-live/workoo/home-2.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/home-2.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:02	51669/51669	---M-Z	200	added ('OK')	text/html	etag:%22c9d5-6454d56e-99d780319d33386b;gz%22	https://themezhub.net/workoo-live/workoo/home-3.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/home-3.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:02	34235/34235	---M-Z	200	added ('OK')	text/html	etag:%2285bb-6454d56e-fdf2293f20e3353b;gz%22	https://themezhub.net/workoo-live/workoo/home-4.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/home-4.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:02	45876/45876	---M-Z	200	added ('OK')	text/html	etag:%22b334-6454d56e-5d5799a2bdc3746f;gz%22	https://themezhub.net/workoo-live/workoo/home-5.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/home-5.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:02	57624/57624	---M-Z	200	added ('OK')	text/html	etag:%22e118-6454d56e-19e0b72d6eaba98a;gz%22	https://themezhub.net/workoo-live/workoo/home-6.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/home-6.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:03	32660/32660	---M-Z	200	added ('OK')	text/html	etag:%227f94-6454d56e-339cf3d0935d6573;gz%22	https://themezhub.net/workoo-live/workoo/freelancer-2.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/freelancer-2.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:03	50167/50167	---M-Z	200	added ('OK')	text/html	etag:%22c3f7-6454d56e-4832230a8e8eb63f;gz%22	https://themezhub.net/workoo-live/workoo/freelancer-3.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/freelancer-3.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
13:46:03	57688/57688	---M-Z	200	added ('OK')	text/html	etag:%22e158-6454d56e-81007c67bde017d1;gz%22	https://themezhub.net/workoo-live/workoo/freelancer-4.html	D:/1Freelancer_unit/templates/job_market/themezhub.net/workoo-live/workoo/freelancer-4.html	(from https://themezhub.net/workoo-live/workoo/freelancer-1.html)
